Сфера культуры,Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
"Кино, ТВ и видеоигры",Литва,2015,5.68703,standart,standart,standart
"Кино, ТВ и видеоигры",Литва,2014,6.6092,standart,standart,standart
"Кино, ТВ и видеоигры",Люксембург,2015,4.38554,standart,standart,standart
"Кино, ТВ и видеоигры",Люксембург,2014,5.52951,standart,standart,standart
"Кино, ТВ и видеоигры",Малайзия,2015,2.77778,standart,standart,standart
"Кино, ТВ и видеоигры",Малайзия,2014,2.40356,standart,standart,standart
"Кино, ТВ и видеоигры",Мали,2015,4.05751,standart,standart,standart
"Кино, ТВ и видеоигры",Мальта,2014,3.8336,standart,standart,standart
"Кино, ТВ и видеоигры",Мексика,2015,1.3719,Over Coverage,Classification,Includes other occupation(s)
"Кино, ТВ и видеоигры",Мексика,2014,0.79166,standart,standart,standart
"Кино, ТВ и видеоигры",Молдова,2015,4.09639,standart,standart,standart
"Кино, ТВ и видеоигры",Нидерланды,2015,7.25076,standart,standart,standart
"Кино, ТВ и видеоигры",Нидерланды,2014,6.60661,standart,standart,standart
"Кино, ТВ и видеоигры",Пакистан,2015,0.06768,Over Coverage,Classification,Includes other occupation(s)
"Кино, ТВ и видеоигры",Пакистан,2015,0.06768,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Кино, ТВ и видеоигры",Пакистан,2014,0.0504,standart,standart,standart
"Кино, ТВ и видеоигры",Панама,2016,3.84082,standart,standart,standart
"Кино, ТВ и видеоигры",Панама,2013,4.16355,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Кино, ТВ и видеоигры",Перу,2013,0.00812,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Кино, ТВ и видеоигры",Пуэрто-Рико,2015,5.16632,standart,standart,standart
"Кино, ТВ и видеоигры",Пуэрто-Рико,2014,11.04418,standart,standart,standart
"Кино, ТВ и видеоигры",Россия,2014,3.6156,standart,standart,standart
"Кино, ТВ и видеоигры",Румыния,2015,1.96163,standart,standart,standart
"Кино, ТВ и видеоигры",Румыния,2014,3.26103,standart,standart,standart
"Кино, ТВ и видеоигры",Сербия,2015,5.29859,standart,standart,standart
"Кино, ТВ и видеоигры",Сербия,2014,3.2505,standart,standart,standart
"Кино, ТВ и видеоигры",Словакия,2015,3.85925,standart,standart,standart
"Кино, ТВ и видеоигры",Словакия,2014,4.36205,standart,standart,standart
"Кино, ТВ и видеоигры",Словения,2016,3.24034,Over Coverage,Classification,Includes other occupation(s)
"Кино, ТВ и видеоигры",Словения,2015,3.237,Over Coverage,Classification,Includes other occupation(s)
"Кино, ТВ и видеоигры",Словения,2014,3.27521,Over Coverage,Classification,Includes other occupation(s)
"Кино, ТВ и видеоигры",Таиланд,2015,3.79882,standart,standart,standart
"Кино, ТВ и видеоигры",Таиланд,2014,2.84793,standart,standart,standart
"Кино, ТВ и видеоигры",Того,2015,0.76108,standart,standart,standart
"Кино, ТВ и видеоигры",Турция,2015,1.79269,standart,standart,standart
"Кино, ТВ и видеоигры",Турция,2014,1.78586,standart,standart,standart
"Кино, ТВ и видеоигры",Уганда,2012,1.51303,standart,standart,standart
"Кино, ТВ и видеоигры",Финляндия,2015,6.3945,Over Coverage,Classification,Includes other occupation(s)
"Кино, ТВ и видеоигры",Финляндия,2014,5.86253,standart,standart,standart
"Кино, ТВ и видеоигры",Франция,2015,14.04726,standart,standart,standart
"Кино, ТВ и видеоигры",Франция,2014,12.60234,standart,standart,standart
"Кино, ТВ и видеоигры",Чехия,2015,5.18349,standart,standart,standart
"Кино, ТВ и видеоигры",Чили,2016,0.74694,standart,standart,standart
"Кино, ТВ и видеоигры",Чили,2013,1.41793,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Кино, ТВ и видеоигры",Швейцария,2014,2.65302,standart,standart,standart
"Кино, ТВ и видеоигры",Швеция,2015,7.83534,standart,standart,standart
"Кино, ТВ и видеоигры",Швеция,2014,8.01755,standart,standart,standart
"Кино, ТВ и видеоигры",Эквадор,2015,1.28403,standart,standart,standart
"Кино, ТВ и видеоигры",Эстония,2015,6.53642,standart,standart,standart
"Кино, ТВ и видеоигры",Эстония,2014,6.33613,standart,standart,standart
"Кино, ТВ и видеоигры",ЮАР,2014,0.89267,standart,standart,standart
"Кино, ТВ и видеоигры",Южная Корея,2015,3.07434,Over Coverage,Classification,Includes other occupation(s)
"Кино, ТВ и видеоигры",Южная Корея,2014,2.76976,Over Coverage,Classification,Includes other occupation(s)
